UPI,Province,Sector,Cell,Parcel
1/11/03/02/0208,1,11,03,0208
1/11/03/02/0209,1,11,03,0209
1/11/03/02/0210,1,11,03,0210
1/11/03/02/0211,1,11,03,0211
1/11/03/02/0212,1,11,03,0212
1/11/03/03/0301,1,11,03,0301
1/11/03/03/0302,1,11,03,0302
1/11/03/03/0303,1,11,03,0303
1/11/03/03/0304,1,11,03,0304
1/11/03/03/0305,1,11,03,0305
1/11/03/03/0306,1,11,03,0306
1/11/03/03/0307,1,11,03,0307
1/11/03/03/0308,1,11,03,0308
1/11/03/03/0309,1,11,03,0309
1/11/03/03/0310,1,11,03,0310
1/11/03/04/0401,1,11,03,0401
1/11/03/04/0402,1,11,03,0402
1/11/03/04/0403,1,11,03,0403
1/11/03/04/0404,1,11,03,0404
1/11/03/04/0405,1,11,03,0405
1/11/03/04/0406,1,11,03,0406
1/11/03/04/0407,1,11,03,0407
1/11/03/04/0408,1,11,03,0408
1/11/03/05/0501,1,11,03,0501
1/11/03/05/0502,1,11,03,0502
1/11/03/05/0503,1,11,03,0503
1/11/03/05/0504,1,11,03,0504
1/11/03/05/0505,1,11,03,0505
1/11/03/05/0506,1,11,03,0506
1/11/03/05/0507,1,11,03,0507
1/11/03/05/0508,1,11,03,0508
1/11/04/01/0101,1,11,04,0101
1/11/04/01/0102,1,11,04,0102
1/11/04/01/0103,1,11,04,0103
1/11/04/01/0104,1,11,04,0104
1/11/04/01/0105,1,11,04,0105
1/11/04/01/0106,1,11,04,0106
1/11/04/01/0107,1,11,04,0107
1/11/04/01/0108,1,11,04,0108
1/11/04/01/0109,1,11,04,0109
1/11/04/01/0110,1,11,04,0110
1/11/04/01/0111,1,11,04,0111
1/11/04/01/0112,1,11,04,0112
1/11/04/01/0113,1,11,04,0113
1/11/04/01/0114,1,11,04,0114
1/11/04/02/0201,1,11,04,0201
1/11/04/02/0202,1,11,04,0202
1/11/04/02/0203,1,11,04,0203
1/11/04/02/0204,1,11,04,0204
1/11/04/02/0205,1,11,04,0205
1/11/04/02/0206,1,11,04,0206
1/11/04/02/0207,1,11,04,0207
1/11/04/02/0208,1,11,04,0208
1/11/04/02/0209,1,11,04,0209
1/11/04/02/0210,1,11,04,0210
1/11/04/02/0211,1,11,04,0211
1/11/04/02/0212,1,11,04,0212
1/11/04/02/0213,1,11,04,0213
1/11/04/03/0301,1,11,04,0301
1/11/04/03/0302,1,11,04,0302
1/11/04/03/0303,1,11,04,0303
1/11/04/03/0304,1,11,04,0304
1/11/04/03/0305,1,11,04,0305
1/11/04/03/0306,1,11,04,0306
1/11/04/03/0307,1,11,04,0307
1/11/04/03/0308,1,11,04,0308
1/11/04/03/0309,1,11,04,0309
1/11/04/03/0310,1,11,04,0310
1/11/04/03/0311,1,11,04,0311
1/11/04/03/0312,1,11,04,0312
1/11/04/03/0313,1,11,04,0313
1/11/04/03/0314,1,11,04,0314
1/11/04/03/0315,1,11,04,0315
1/11/04/03/0316,1,11,04,0316
1/11/04/03/0317,1,11,04,0317
1/11/04/03/0318,1,11,04,0318
1/11/04/03/0319,1,11,04,0319
1/11/04/03/0320,1,11,04,0320
1/11/04/03/0321,1,11,04,0321
1/11/05/01/0101,1,11,05,0101
1/11/05/01/0102,1,11,05,0102
1/11/05/01/0103,1,11,05,0103
1/11/05/01/0104,1,11,05,0104
1/11/05/01/0105,1,11,05,0105
1/11/05/01/0106,1,11,05,0106
1/11/05/02/0201,1,11,05,0201
1/11/05/02/0202,1,11,05,0202
1/11/05/02/0203,1,11,05,0203
1/11/05/02/0204,1,11,05,0204
1/11/05/02/0205,1,11,05,0205
1/11/05/02/0206,1,11,05,0206
1/11/05/02/0207,1,11,05,0207
1/11/05/03/0301,1,11,05,0301
1/11/05/03/0302,1,11,05,0302
1/11/05/03/0303,1,11,05,0303
1/11/05/03/0304,1,11,05,0304
1/11/05/03/0305,1,11,05,0305
1/11/05/03/0306,1,11,05,0306
1/11/05/03/0307,1,11,05,0307
1/11/05/03/0308,1,11,05,0308
1/11/05/04/0401,1,11,05,0401
1/11/05/04/0402,1,11,05,0402
1/11/05/04/0403,1,11,05,0403
1/11/05/04/0404,1,11,05,0404
1/11/05/04/0405,1,11,05,0405
1/11/05/04/0406,1,11,05,0406
1/11/05/05/0501,1,11,05,0501
1/11/05/05/0502,1,11,05,0502
1/11/05/05/0503,1,11,05,0503
1/11/05/05/0504,1,11,05,0504
1/11/05/05/0505,1,11,05,0505
1/11/05/05/0506,1,11,05,0506
1/11/05/06/0601,1,11,05,0601
1/11/05/06/0602,1,11,05,0602
1/11/05/06/0603,1,11,05,0603
1/11/05/06/0604,1,11,05,0604
1/11/05/06/0605,1,11,05,0605
1/11/05/06/0606,1,11,05,0606
1/11/05/07/0701,1,11,05,0701
1/11/05/07/0702,1,11,05,0702
1/11/05/07/0703,1,11,05,0703
1/11/05/07/0704,1,11,05,0704
1/11/05/07/0705,1,11,05,0705
1/11/06/01/0101,1,11,06,0101
1/11/06/01/0102,1,11,06,0102
1/11/06/01/0103,1,11,06,0103
1/11/06/01/0104,1,11,06,0104
1/11/06/01/0105,1,11,06,0105
1/11/06/01/0106,1,11,06,0106
1/11/06/02/0201,1,11,06,0201
1/11/06/02/0202,1,11,06,0202
1/11/06/02/0203,1,11,06,0203
1/11/06/02/0204,1,11,06,0204
1/11/06/03/0301,1,11,06,0301
1/11/06/03/0302,1,11,06,0302
1/11/06/03/0303,1,11,06,0303
1/11/06/03/0304,1,11,06,0304
1/11/06/03/0305,1,11,06,0305
1/11/06/03/0306,1,11,06,0306
1/11/06/03/0307,1,11,06,0307
1/11/06/04/0401,1,11,06,0401
1/11/06/04/0402,1,11,06,0402
1/11/06/04/0403,1,11,06,0403
1/11/06/04/0404,1,11,06,0404
1/11/06/04/0405,1,11,06,0405
1/11/06/04/0406,1,11,06,0406
1/11/06/05/0501,1,11,06,0501
1/11/06/05/0502,1,11,06,0502
1/11/06/05/0503,1,11,06,0503
1/11/06/05/0504,1,11,06,0504
1/11/06/06/0601,1,11,06,0601
1/11/06/06/0602,1,11,06,0602
1/11/06/06/0603,1,11,06,0603
1/11/06/06/0604,1,11,06,0604
1/11/06/06/0605,1,11,06,0605
1/11/06/06/0606,1,11,06,0606
1/11/06/07/0703,1,11,06,0703
1/11/07/01/0101,1,11,07,0101
1/11/07/01/0102,1,11,07,0102
1/11/07/01/0103,1,11,07,0103
1/11/07/01/0104,1,11,07,0104
1/11/07/01/0105,1,11,07,0105
1/11/07/02/0201,1,11,07,0201
1/11/07/02/0202,1,11,07,0202
1/11/07/02/0203,1,11,07,0203
1/11/07/02/0204,1,11,07,0204
1/11/07/02/0205,1,11,07,0205
1/11/07/02/0206,1,11,07,0206
1/11/07/02/0207,1,11,07,0207
1/11/07/02/0208,1,11,07,0208
1/11/07/03/0301,1,11,07,0301
1/11/07/03/0302,1,11,07,0302
1/11/07/03/0303,1,11,07,0303
1/11/07/03/0304,1,11,07,0304
1/11/07/03/0305,1,11,07,0305
1/11/07/03/0306,1,11,07,0306
1/11/07/03/0307,1,11,07,0307
1/11/07/03/0308,1,11,07,0308
1/11/07/04/0401,1,11,07,0401
1/11/07/04/0402,1,11,07,0402
1/11/07/04/0403,1,11,07,0403
1/11/07/04/0404,1,11,07,0404
1/11/07/04/0405,1,11,07,0405
1/11/07/04/0406,1,11,07,0406
1/11/08/01/0101,1,11,08,0101
1/11/08/01/0102,1,11,08,0102
1/11/08/01/0103,1,11,08,0103
1/11/08/01/0104,1,11,08,0104
1/11/08/01/0105,1,11,08,0105
1/11/08/01/0106,1,11,08,0106
1/11/08/01/0107,1,11,08,0107
1/11/08/01/0108,1,11,08,0108
1/11/08/01/0109,1,11,08,0109
1/11/08/01/0110,1,11,08,0110
1/11/08/01/0111,1,11,08,0111
1/11/08/01/0112,1,11,08,0112
1/11/08/01/0113,1,11,08,0113
1/11/08/02/0201,1,11,08,0201
1/11/08/02/0202,1,11,08,0202
1/11/08/02/0203,1,11,08,0203
1/11/08/03/0301,1,11,08,0301
1/11/08/03/0302,1,11,08,0302
1/11/08/03/0303,1,11,08,0303
1/11/08/03/0304,1,11,08,0304
1/11/08/03/0305,1,11,08,0305
1/11/08/03/0306,1,11,08,0306
1/11/08/03/0307,1,11,08,0307
1/11/08/03/0308,1,11,08,0308
1/11/08/03/0309,1,11,08,0309
2/11/08/04/0401,2,11,08,0401
1/11/08/04/0402,1,11,08,0402
1/11/08/04/0403,1,11,08,0403
1/11/08/04/0404,1,11,08,0404
1/11/08/04/0405,1,11,08,0405
1/11/08/04/0406,1,11,08,0406
1/11/08/04/0407,1,11,08,0407
1/11/08/04/0408,1,11,08,0408
1/11/08/04/0409,1,11,08,0409
1/11/09/01/0101,1,11,09,0101
1/11/09/01/0102,1,11,09,0102
1/11/09/01/0103,1,11,09,0103
1/11/09/01/0104,1,11,09,0104
1/11/09/01/0105,1,11,09,0105
1/11/09/01/0106,1,11,09,0106
1/11/09/01/0107,1,11,09,0107
1/11/09/02/0201,1,11,09,0201
1/11/09/02/0202,1,11,09,0202
1/11/09/02/0203,1,11,09,0203
1/11/09/02/0204,1,11,09,0204
1/11/09/02/0205,1,11,09,0205
1/11/09/03/0301,1,11,09,0301
1/11/09/03/0302,1,11,09,0302
1/11/09/03/0303,1,11,09,0303
1/11/09/03/0304,1,11,09,0304
1/11/09/03/0305,1,11,09,0305
1/11/09/03/0306,1,11,09,0306
1/11/09/03/0307,1,11,09,0307
1/11/09/03/0308,1,11,09,0308
1/11/09/03/0309,1,11,09,0309
1/11/09/03/0310,1,11,09,0310
1/11/09/03/0311,1,11,09,0311
1/11/09/03/0312,1,11,09,0312
1/11/09/04/0401,1,11,09,0401
1/11/09/04/0402,1,11,09,0402
1/11/09/04/0403,1,11,09,0403
1/11/09/04/0404,1,11,09,0404
1/11/09/04/0405,1,11,09,0405
1/11/09/04/0406,1,11,09,0406
1/11/10/01/0101,1,11,10,0101
1/11/10/01/0102,1,11,10,0102
1/11/10/01/0103,1,11,10,0103
1/11/10/01/0104,1,11,10,0104
1/11/10/02/0201,1,11,10,0201
1/11/10/02/0202,1,11,10,0202
1/11/10/02/0203,1,11,10,0203
1/11/10/02/0204,1,11,10,0204
1/11/10/03/0301,1,11,10,0301
1/11/10/03/0302,1,11,10,0302
1/11/10/03/0303,1,11,10,0303
1/11/10/03/0304,1,11,10,0304
1/11/10/04/0401,1,11,10,0401
1/11/10/04/0402,1,11,10,0402
1/11/10/04/0403,1,11,10,0403
1/12/01/01/0101,1,12,01,0101
1/12/01/01/0104,1,12,01,0104
1/12/01/01/0105,1,12,01,0105
1/12/01/01/0106,1,12,01,0106
1/12/01/01/0107,1,12,01,0107
1/12/01/02/0201,1,12,01,0201
1/12/01/02/0202,1,12,01,0202
1/12/01/02/0203,1,12,01,0203
1/12/01/02/0204,1,12,01,0204
1/12/01/02/0205,1,12,01,0205
1/12/01/03/0301,1,12,01,0301
1/12/01/03/0302,1,12,01,0302
1/12/01/03/0303,1,12,01,0303
1/12/01/03/0304,1,12,01,0304
1/12/01/03/0305,1,12,01,0305
1/12/01/03/0306,1,12,01,0306
1/12/01/04/0401,1,12,01,0401
1/12/01/04/0402,1,12,01,0402
1/12/01/04/0403,1,12,01,0403
1/12/01/04/0404,1,12,01,0404
1/12/01/04/0405,1,12,01,0405
1/12/01/05/0501,1,12,01,0501
1/12/01/05/0502,1,12,01,0502
1/12/01/05/0503,1,12,01,0503
1/12/01/05/0504,1,12,01,0504
1/12/01/05/0505,1,12,01,0505
1/12/01/06/0601,1,12,01,0601
1/12/01/06/0602,1,12,01,0602
1/12/01/06/0603,1,12,01,0603
1/12/01/06/0604,1,12,01,0604
1/12/01/06/0605,1,12,01,0605
1/12/01/06/0606,1,12,01,0606
1/12/01/06/0607,1,12,01,0607
1/12/01/06/0608,1,12,01,0608
1/12/01/06/0609,1,12,01,0609
1/12/01/06/0610,1,12,01,0610
1/12/01/07/0701,1,12,01,0701
1/12/01/07/0702,1,12,01,0702
1/12/01/07/0703,1,12,01,0703
1/12/01/07/0704,1,12,01,0704
1/12/01/07/0705,1,12,01,0705
1/12/01/07/0706,1,12,01,0706
1/12/01/07/0707,1,12,01,0707
1/12/02/01/0101,1,12,02,0101
1/12/02/01/0102,1,12,02,0102
1/12/02/01/0103,1,12,02,0103
1/12/02/01/0104,1,12,02,0104
1/12/02/01/0105,1,12,02,0105
1/12/02/01/0106,1,12,02,0106
1/12/02/01/0107,1,12,02,0107
1/12/02/01/0108,1,12,02,0108
1/12/02/01/0109,1,12,02,0109
1/12/02/01/0110,1,12,02,0110
1/12/02/01/0111,1,12,02,0111
1/12/02/02/0201,1,12,02,0201
1/12/02/02/0202,1,12,02,0202
1/12/02/02/0203,1,12,02,0203
1/12/02/02/0204,1,12,02,0204
1/12/02/02/0205,1,12,02,0205
1/12/02/02/0206,1,12,02,0206
1/12/02/02/0207,1,12,02,0207
1/12/02/02/0208,1,12,02,0208
1/12/02/02/0209,1,12,02,0209
1/12/02/02/0210,1,12,02,0210
1/12/02/02/0211,1,12,02,0211
1/12/02/02/0212,1,12,02,0212
1/12/02/02/0213,1,12,02,0213
1/12/02/02/0214,1,12,02,0214
1/12/02/02/0215,1,12,02,0215
1/12/02/02/0216,1,12,02,0216
1/12/02/03/0301,1,12,02,0301
1/12/02/03/0302,1,12,02,0302
1/12/02/03/0303,1,12,02,0303
1/12/02/03/0304,1,12,02,0304
1/12/02/03/0305,1,12,02,0305
1/12/02/03/0306,1,12,02,0306
1/12/02/03/0307,1,12,02,0307
1/12/02/03/0308,1,12,02,0308
1/12/02/03/0309,1,12,02,0309
1/12/02/03/0310,1,12,02,0310
1/12/02/03/0311,1,12,02,0311
1/12/02/03/0312,1,12,02,0312
1/12/03/01/0101,1,12,03,0101
1/12/03/01/0102,1,12,03,0102
1/12/03/01/0103,1,12,03,0103
1/12/03/01/0104,1,12,03,0104
1/12/03/02/0201,1,12,03,0201
1/12/03/02/0202,1,12,03,0202
1/12/03/02/0203,1,12,03,0203
1/12/03/02/0204,1,12,03,0204
1/12/03/03/0301,1,12,03,0301
1/12/03/03/0302,1,12,03,0302
1/12/03/03/0303,1,12,03,0303
1/12/03/03/0304,1,12,03,0304
1/12/03/04/0401,1,12,03,0401
1/12/03/04/0402,1,12,03,0402
1/12/03/04/0403,1,12,03,0403
1/12/03/04/0404,1,12,03,0404
1/12/03/05/0501,1,12,03,0501
1/12/03/05/0502,1,12,03,0502
1/12/03/05/0503,1,12,03,0503
1/12/03/05/0504,1,12,03,0504
1/12/04/01/0101,1,12,04,0101
1/12/04/01/0102,1,12,04,0102
1/12/04/01/0103,1,12,04,0103
1/12/04/01/0104,1,12,04,0104
1/12/04/01/0105,1,12,04,0105
1/12/04/01/0106,1,12,04,0106
1/12/04/01/0107,1,12,04,0107
1/12/04/01/0108,1,12,04,0108
1/12/04/02/0201,1,12,04,0201
1/12/04/02/0202,1,12,04,0202
1/12/04/02/0203,1,12,04,0203
1/12/04/02/0204,1,12,04,0204
1/12/04/02/0205,1,12,04,0205
1/12/04/02/0206,1,12,04,0206
1/12/05/01/0101,1,12,05,0101
1/12/05/01/0102,1,12,05,0102
1/12/05/01/0103,1,12,05,0103
1/12/05/01/0104,1,12,05,0104
1/12/05/01/0105,1,12,05,0105
1/12/05/01/0106,1,12,05,0106
1/12/05/02/0201,1,12,05,0201
1/12/05/02/0202,1,12,05,0202
1/12/05/02/0203,1,12,05,0203
1/12/05/02/0204,1,12,05,0204
1/12/05/02/0205,1,12,05,0205
1/12/05/02/0206,1,12,05,0206
1/12/05/02/0207,1,12,05,0207
1/12/05/02/0208,1,12,05,0208
1/12/05/02/0209,1,12,05,0209
1/12/05/02/0210,1,12,05,0210
1/12/05/03/0301,1,12,05,0301
1/12/05/03/0302,1,12,05,0302
1/12/05/03/0303,1,12,05,0303
1/12/05/03/0304,1,12,05,0304
1/12/05/03/0305,1,12,05,0305
1/12/05/03/0306,1,12,05,0306
1/12/05/03/0307,1,12,05,0307
1/12/05/03/0308,1,12,05,0308
1/12/05/03/0309,1,12,05,0309
1/12/05/03/0310,1,12,05,0310
1/12/05/03/0311,1,12,05,0311
1/12/05/04/0401,1,12,05,0401
1/12/05/04/0402,1,12,05,0402
1/12/05/04/0403,1,12,05,0403
1/12/05/04/0404,1,12,05,0404
1/12/05/04/0405,1,12,05,0405
1/12/05/05/0501,1,12,05,0501
1/12/05/05/0502,1,12,05,0502
1/12/05/05/0503,1,12,05,0503
1/12/05/05/0504,1,12,05,0504
1/12/05/05/0505,1,12,05,0505
1/12/05/05/0506,1,12,05,0506
1/12/05/05/0507,1,12,05,0507
1/12/05/05/0508,1,12,05,0508
1/12/05/05/0509,1,12,05,0509
1/12/05/05/0510,1,12,05,0510
1/12/06/01/0101,1,12,06,0101
1/12/06/01/0102,1,12,06,0102
1/12/06/01/0103,1,12,06,0103
1/12/06/01/0104,1,12,06,0104
1/12/06/01/0105,1,12,06,0105
1/12/06/01/0106,1,12,06,0106
1/12/06/01/0107,1,12,06,0107
1/12/06/02/0201,1,12,06,0201
1/12/06/02/0202,1,12,06,0202
1/12/06/02/0203,1,12,06,0203
1/12/06/02/0204,1,12,06,0204
1/12/06/03/0301,1,12,06,0301
1/12/06/03/0302,1,12,06,0302
1/12/06/03/0303,1,12,06,0303
1/12/06/04/0401,1,12,06,0401
1/12/06/04/0402,1,12,06,0402
1/12/06/04/0403,1,12,06,0403
1/12/06/04/0404,1,12,06,0404
1/12/06/04/0405,1,12,06,0405
1/12/06/05/0501,1,12,06,0501
1/12/06/05/0502,1,12,06,0502
1/12/06/05/0503,1,12,06,0503
1/12/06/05/0504,1,12,06,0504
1/12/06/05/0505,1,12,06,0505
1/12/06/06/0601,1,12,06,0601
1/12/06/06/0602,1,12,06,0602
1/12/06/06/0603,1,12,06,0603
1/12/06/06/0604,1,12,06,0604
1/12/06/06/0605,1,12,06,0605
1/12/06/07/0701,1,12,06,0701
1/12/06/07/0702,1,12,06,0702
1/12/06/07/0703,1,12,06,0703
1/12/06/07/0704,1,12,06,0704
1/12/07/01/0101,1,12,07,0101
1/12/07/01/0102,1,12,07,0102
1/12/07/01/0103,1,12,07,0103
1/12/07/01/0104,1,12,07,0104
1/12/07/01/0105,1,12,07,0105
1/12/07/01/0106,1,12,07,0106
1/12/07/01/0107,1,12,07,0107
1/12/07/01/0108,1,12,07,0108
1/12/07/01/0109,1,12,07,0109
1/12/07/01/0110,1,12,07,0110
1/12/07/01/0111,1,12,07,0111
1/12/07/01/0112,1,12,07,0112
1/12/07/02/0201,1,12,07,0201
1/12/07/02/0202,1,12,07,0202
1/12/07/02/0203,1,12,07,0203
1/12/07/02/0204,1,12,07,0204
1/12/07/02/0205,1,12,07,0205
1/12/07/02/0206,1,12,07,0206
1/12/07/02/0207,1,12,07,0207
1/12/07/02/0209,1,12,07,0209
1/12/07/02/0210,1,12,07,0210
1/12/07/03/0301,1,12,07,0301
1/12/07/03/0302,1,12,07,0302
1/12/07/03/0303,1,12,07,0303
1/12/07/03/0304,1,12,07,0304
1/12/07/03/0305,1,12,07,0305
1/12/07/03/0306,1,12,07,0306
1/12/07/03/0307,1,12,07,0307
1/12/07/03/0308,1,12,07,0308
1/12/07/03/0309,1,12,07,0309
1/12/07/03/0310,1,12,07,0310
1/12/07/03/0311,1,12,07,0311
1/12/08/01/0101,1,12,08,0101
1/12/08/01/0102,1,12,08,0102
1/12/08/01/0103,1,12,08,0103
1/12/08/01/0104,1,12,08,0104
1/12/08/01/0105,1,12,08,0105
1/12/08/01/0106,1,12,08,0106
1/12/08/01/0107,1,12,08,0107
1/12/08/01/0108,1,12,08,0108
1/12/08/01/0109,1,12,08,0109
1/12/08/02/0201,1,12,08,0201
1/12/08/02/0202,1,12,08,0202
1/12/08/02/0203,1,12,08,0203
1/12/08/02/0204,1,12,08,0204
1/12/08/02/0205,1,12,08,0205
1/12/08/02/0206,1,12,08,0206
1/12/08/02/0207,1,12,08,0207
1/12/08/02/0208,1,12,08,0208
1/12/08/02/0209,1,12,08,0209
1/12/08/03/0301,1,12,08,0301
1/12/08/03/0302,1,12,08,0302
1/12/08/03/0304,1,12,08,0304
1/12/08/03/0305,1,12,08,0305
1/12/09/01/0101,1,12,09,0101
1/12/09/01/0102,1,12,09,0102
1/12/09/01/0103,1,12,09,0103
1/12/09/01/0104,1,12,09,0104
1/12/09/01/0105,1,12,09,0105
1/12/09/01/0106,1,12,09,0106
1/12/09/01/0107,1,12,09,0107
1/12/09/01/0108,1,12,09,0108
1/12/09/01/0109,1,12,09,0109
1/12/09/01/0110,1,12,09,0110
1/12/09/01/0111,1,12,09,0111
1/12/09/01/0112,1,12,09,0112
1/12/09/01/0113,1,12,09,0113
1/12/09/01/0114,1,12,09,0114
1/12/09/01/0115,1,12,09,0115
1/12/09/02/0201,1,12,09,0201
1/12/09/02/0202,1,12,09,0202
1/12/09/02/0203,1,12,09,0203
1/12/09/02/0204,1,12,09,0204
1/12/09/02/0205,1,12,09,0205
1/12/09/02/0206,1,12,09,0206
1/12/09/02/0207,1,12,09,0207
1/12/09/02/0208,1,12,09,0208
1/12/09/02/0209,1,12,09,0209
1/12/09/02/0210,1,12,09,0210
1/12/09/02/0211,1,12,09,0211
1/12/09/02/0212,1,12,09,0212
1/12/09/02/0213,1,12,09,0213
1/12/09/02/0214,1,12,09,0214
1/12/09/03/0301,1,12,09,0301
1/12/09/03/0302,1,12,09,0302
1/12/09/03/0303,1,12,09,0303
1/12/09/03/0304,1,12,09,0304
1/12/09/03/0305,1,12,09,0305
1/12/09/03/0306,1,12,09,0306
1/12/10/01/0103,1,12,10,0103
1/12/10/01/0104,1,12,10,0104
1/12/10/01/0107,1,12,10,0107
1/12/10/01/0108,1,12,10,0108
1/12/10/01/0111,1,12,10,0111
1/12/10/01/0112,1,12,10,0112
1/12/10/02/0201,1,12,10,0201
1/12/10/02/0202,1,12,10,0202
1/12/10/02/0203,1,12,10,0203
1/12/10/02/0204,1,12,10,0204
1/12/10/03/0301,1,12,10,0301
1/12/10/03/0302,1,12,10,0302
1/12/10/03/0303,1,12,10,0303
1/12/10/03/0304,1,12,10,0304
1/12/10/03/0305,1,12,10,0305
1/12/10/03/0306,1,12,10,0306
1/12/10/03/0307,1,12,10,0307
1/12/10/03/0308,1,12,10,0308
1/12/10/03/0309,1,12,10,0309
1/12/10/04/0401,1,12,10,0401
1/12/10/04/0402,1,12,10,0402
1/12/10/04/0403,1,12,10,0403
1/12/10/04/0404,1,12,10,0404
1/12/11/01/0101,1,12,11,0101
1/12/11/01/0102,1,12,11,0102
1/12/14/08/0803,1,12,14,0803
1/12/14/08/0804,1,12,14,0804
1/12/14/08/0805,1,12,14,0805
1/12/15/01/0101,1,12,15,0101
1/12/15/01/0102,1,12,15,0102
1/12/15/01/0103,1,12,15,0103
1/12/15/02/0201,1,12,15,0201
1/12/15/02/0202,1,12,15,0202
1/12/15/02/0203,1,12,15,0203
1/13/05/01/0101,1,13,05,0101
1/13/05/01/0102,1,13,05,0102
1/13/05/01/0103,1,13,05,0103
1/13/05/01/0104,1,13,05,0104
1/13/05/01/0105,1,13,05,0105
1/13/05/01/0106,1,13,05,0106
1/13/05/01/0107,1,13,05,0107
1/13/05/01/0108,1,13,05,0108
1/13/05/01/0109,1,13,05,0109
1/13/05/04/0403,1,13,05,0403
1/13/05/04/0404,1,13,05,0404
1/13/05/04/0405,1,13,05,0405
1/13/05/04/0406,1,13,05,0406
1/13/05/04/0407,1,13,05,0407
1/13/05/04/0408,1,13,05,0408
1/13/05/04/0409,1,13,05,0409
1/13/05/04/0410,1,13,05,0410
1/13/05/04/0411,1,13,05,0411
2/21/03/02/0208,2,21,03,0208
2/21/03/03/0301,2,21,03,0301
2/21/03/03/0302,2,21,03,0302
2/21/03/03/0303,2,21,03,0303
2/21/03/03/0304,2,21,03,0304
2/21/03/03/0305,2,21,03,0305
2/21/03/03/0306,2,21,03,0306
2/21/03/03/0307,2,21,03,0307
2/21/03/03/0308,2,21,03,0308
2/21/03/04/0401,2,21,03,0401
2/21/05/01/0103,2,21,05,0103
2/21/05/01/0104,2,21,05,0104
2/21/05/01/0105,2,21,05,0105
2/21/05/01/0106,2,21,05,0106
2/21/05/01/0107,2,21,05,0107
2/21/05/01/0108,2,21,05,0108
